Consent,Gender,Year of born,Nationality,Highest education,Current city,Have you heard of PUA?,Have you experienced PUA? ,PUA 1,PUA 2,PUA 3,PUA 4,PUA 5,PUA 6,PUA 7,PUA 8,PUA 9,PUA 10,PUA 11,PUA 12,PUA 13,PUA 14,PUA 15,PUA 16,PUA 17,PUA 18,PUA 19,PUA 20,PUA 21,PUA 22,PUA 23,PUA 24,PUA 25,"In the past 12 months, have you experienced any of the behaviours mentioned above? ","If so, please specify the number of each item.",Have you experienced any other forms of PUA not included above?," If so, please give examples.","If you were asked to use a Chinese word to replace PUA, which word would you use?","If you have experienced PUA, how is the perpetrator related to you? If never, please skip this question.",Self-esteem 1,Self-esteem 2,Self-esteem 3,Self-esteem 4,Self-esteem 5,Self-esteem 6,Self-esteem 7,Self-esteem 8,Self-esteem 9,Self-esteem 10,CVS 1,CVS 2,CVS 3,CVS 4,CVS 5,CVS 6,CVS 7,CVS 8,CVS 9,CVS 10,CVS 11,CVS 12,CVS 13,CVS 14,CVS 15,CVS 16,CVS 17,CVS 18,CVS 19,CVS 20,CVS 21,CVS 22,CVS 23,CVS 24,CVS 25,CVS 26,CVS 27,GRA 1,GRA 2,GRA 3,GRA 4,Feedback or Comments,Generation,City
Agree and Continue,Female,1967,Chinese,Bachelor's degree,Kunming,Yes,Yes,1,1,1,5,4,3,3,4,5,5,4,5,3,3,4,5,3,5,4,5,5,3,5,5,5,No,,Yes,?????????????????????????????????????????,??,???,4,4,5,5,4,4,4,5,5,5,5,5,3,3,4,5,5,5,4,4,5,5,5,5,4,5,3,3,3,4,3,3,2,2,3,4,4,1,4,4,1,,60s,mainland other
Agree and Continue,Female,1989,Chinese,Master's degree,Beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree and Continue,Female,1982,Chinese,Master's degree,Shanghai,Yes,Yes,3,5,4,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,4,5,5,4,4,5,5,No,,Yes,?????????????,???,??,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,5,3,4,3,5,5,2,3,3,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,,80s,mainland first tier
Agree and Continue,Female,1983,Chinese,Master's degree,Beijing,Yes,Yes,2,1,4,5,4,3,4,1,4,5,5,5,4,4,5,5,5,5,5,1,5,1,5,5,5,Yes,6?9?11?16?19,No,,????,??,4,4,4,4,4,3,4,3,3,3,5,5,4,5,5,5,3,5,5,5,5,5,5,4,5,5,5,3,3,2,1,5,3,1,5,1,5,1,2,2,1,,80s,mainland first tier
Agree and Continue,Female,1987,,Bachelor's degree,Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree and Continue,Female,1984,Chinese,Master's degree,Beijing,Yes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,,No,,????,?,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,2,3,3,3,2,2,2,1,?,80s,mainland first tier
Agree and Continue,Female,1985,Chinese,Master's degree,Beijing,Yes,No ,5,5,3,3,2,5,5,4,5,5,5,5,5,5,4,3,3,5,5,5,5,5,5,5,5,Yes,18,No,,?????,??,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,4,4,5,4,5,5,5,5,2,3,5,3,3,5,3,3,1,1,1,1,,80s,mainland first tier
Agree and Continue,Non-binary,111,Chinese,PhD,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree and Continue,Female,1986,Chinese,Master's degree,Guangzhou,Yes,Not sure,2,4,4,3,4,4,4,5,4,3,3,5,5,5,4,3,5,3,3,2,3,5,4,4,4,Yes,8?14,No,,?,????????,5,5,4,5,5,5,5,5,5,5,4,4,2,5,3,3,5,5,5,4,4,5,4,4,3,5,3,3,3,3,3,2,2,2,2,3,3,1,1,1,1,,80s,mainland first tier
Agree and Continue,Female,1987,Chinese,Master's degree,Beijing,Yes,Yes,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Yes,19,No,,??,?????,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,5,4,5,5,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,1,1,1,1,?,80s,mainland first tier
Agree and Continue,Female,1995,Chinese,Bachelor's degree,Beijing,Yes,Yes,2,4,1,5,5,4,5,5,5,5,4,5,5,3,5,5,5,5,5,2,5,5,5,5,5,No,,No,,????,??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
